Dataset,Total Visits,Unique States,Coverage Ratio,Hapax Ratio
Voynich (Real),34635,31754,0.9168182474375631,0.9638155822888455
Lattice Simulator (Syn),41160,29704,0.7216715257531584,0.7117223269593321
