Artifact,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
Voynich,4,5,4,4,5,5,3,2,1,4,5,4
Latin,3,2,1,2,1,1,2,1,3,5,2,3
Table-Grille,5,3,5,1,0,5,4,4,5,5,5,1
Magic Squares,5,5,5,5,5,5,4,3,5,5,5,1
Vedic Chanting,5,2,1,1,0,4,5,5,0,5,4,5
Codex Seraph.,1,4,2,4,4,2,3,0,4,3,1,1
Lingua Ignota,2,5,5,5,5,5,2,1,2,5,0,0
Trithemius,5,2,1,1,0,1,4,2,1,5,5,2
Lullian Wheels,5,4,5,4,3,5,3,1,0,5,5,0
Penmanship,5,0,0,0,0,5,4,1,5,5,0,0
Enochian,5,2,5,1,0,5,4,3,5,5,5,0
